music_name,load_arr,sample_rate,genre
metal.00000.wav,"[-0.110103   -0.11043347 -0.05860472 ... -0.03562124 -0.00716865
  0.        ]",45600,metal
metal.00001.wav,[0.10934395 0.13488968 0.12133492 ... 0.03982237 0.01613259 0.        ],45600,metal
metal.00002.wav,"[-0.02395755 -0.0653446  -0.10698677 ...  0.08406164  0.0574139
  0.        ]",45600,metal
metal.00003.wav,[0.03801652 0.04412166 0.02353182 ... 0.05992022 0.05188337 0.        ],45600,metal
metal.00004.wav,"[-0.03898123 -0.05570928 -0.06857794 ...  0.00189878 -0.00675259
  0.        ]",45600,metal
metal.00005.wav,"[-0.22735074 -0.29876214 -0.2870093  ... -0.04752774 -0.03836684
  0.        ]",45600,metal
metal.00006.wav,"[ 0.00227678  0.01635272  0.02878748 ... -0.0884672  -0.0557812
  0.        ]",45600,metal
metal.00007.wav,"[ 0.0338695   0.06445051  0.08354187 ... -0.16204584 -0.1036102
  0.        ]",45600,metal
metal.00008.wav,"[-0.02601832 -0.0294076  -0.02600671 ...  0.04477235  0.02654219
  0.        ]",45600,metal
metal.00009.wav,"[ 0.06652571  0.06854733  0.04057319 ... -0.13316508 -0.06153787
  0.        ]",45600,metal
metal.00010.wav,"[-0.17510062 -0.1887011  -0.11985888 ...  0.12525475  0.07012767
  0.        ]",45600,metal
metal.00011.wav,"[-0.04234196  0.0725969   0.2488015  ...  0.10121243  0.03525665
  0.        ]",45600,metal
metal.00012.wav,"[ 0.16852528  0.15009497  0.05595069 ...  0.00074918 -0.00527627
  0.        ]",45600,metal
metal.00013.wav,"[-0.05386248 -0.04486176  0.00265212 ... -0.044569   -0.03712398
  0.        ]",45600,metal
metal.00014.wav,"[ 0.12371955  0.16832353  0.16046922 ... -0.20769376 -0.11594471
  0.        ]",45600,metal
metal.00015.wav,"[ 0.14174572  0.14258291  0.03224046 ... -0.03275676 -0.01804116
  0.        ]",45600,metal
metal.00016.wav,"[ 0.0036825  -0.04639087 -0.09199903 ... -0.01149045 -0.01085663
  0.        ]",45600,metal
metal.00017.wav,[0.05072153 0.07912828 0.07137801 ... 0.02254707 0.02894795 0.        ],45600,metal
metal.00018.wav,"[-0.18203358 -0.24808833 -0.23483284 ... -0.03745749 -0.02757321
  0.        ]",45600,metal
metal.00019.wav,[0.05893135 0.06294115 0.02306322 ... 0.11570436 0.06435931 0.        ],45600,metal
metal.00020.wav,"[ 0.00756674 -0.03493122 -0.08664682 ...  0.0646677   0.04726776
  0.        ]",45600,metal
metal.00021.wav,"[-0.07080909 -0.05800816 -0.00695753 ... -0.07583905 -0.05248545
  0.        ]",45600,metal
metal.00022.wav,"[-0.03738343 -0.05650781 -0.06361493 ... -0.06231902 -0.03414967
  0.        ]",45600,metal
metal.00023.wav,[0.14588091 0.19582248 0.19419204 ... 0.13427004 0.08301049 0.        ],45600,metal
metal.00024.wav,[0.158241   0.193491   0.16287062 ... 0.07066242 0.04812411 0.        ],45600,metal
metal.00025.wav,"[-0.10818549 -0.13412818 -0.12274086 ... -0.04495597 -0.01451151
  0.        ]",45600,metal
metal.00026.wav,[0.06954391 0.09640245 0.09397747 ... 0.05689626 0.04242719 0.        ],45600,metal
metal.00027.wav,"[-0.00744283 -0.00265378  0.00389033 ...  0.0658941   0.04633422
  0.        ]",45600,metal
metal.00028.wav,"[ 0.02485743  0.0451854   0.06726925 ... -0.3035853  -0.17388429
  0.        ]",45600,metal
metal.00029.wav,"[-0.00710742 -0.00460341  0.00342697 ... -0.01639957 -0.00252664
  0.        ]",45600,metal
metal.00030.wav,"[-0.34448597 -0.43693936 -0.39809954 ... -0.16515377 -0.099574
  0.        ]",45600,metal
metal.00031.wav,"[ 0.38822502  0.49289608  0.44041374 ... -0.29886773 -0.19546813
  0.        ]",45600,metal
metal.00032.wav,"[-0.0760408  -0.10010218 -0.08819096 ... -0.11071257 -0.06180641
  0.        ]",45600,metal
metal.00033.wav,"[-0.22415861 -0.28884244 -0.26623812 ...  0.16566947  0.11696279
  0.        ]",45600,metal
metal.00034.wav,"[-0.01569568 -0.00624399  0.012968   ... -0.01194558 -0.00417695
  0.        ]",45600,metal
metal.00035.wav,"[-0.01333899 -0.01391228  0.0244093  ... -0.22654313 -0.15981951
  0.        ]",45600,metal
metal.00036.wav,"[ 0.03332364  0.05730706  0.07689443 ... -0.20530531 -0.12287366
  0.        ]",45600,metal
metal.00037.wav,"[-0.1092233  -0.1438499  -0.13640267 ... -0.00633753  0.00264559
  0.        ]",45600,metal
metal.00038.wav,"[-0.0906611  -0.10063975 -0.06174539 ... -0.36647052 -0.21039796
  0.        ]",45600,metal
metal.00039.wav,"[-0.03946322 -0.03657759 -0.01691499 ... -0.12244322 -0.07481397
  0.        ]",45600,metal
metal.00040.wav,"[ 0.12873629  0.1941767   0.2082016  ... -0.0763779  -0.04423814
 -0.01777779]",45600,metal
metal.00041.wav,"[-0.03267009 -0.03890144 -0.02341435 ...  0.04325571  0.01815343
  0.00454505]",45600,metal
metal.00042.wav,"[ 0.02129189  0.02983038  0.02968673 ... -0.11729968 -0.11920358
 -0.06412312]",45600,metal
metal.00043.wav,"[-0.08392563 -0.14071079 -0.16573857 ...  0.17818944  0.15478776
  0.07807648]",45600,metal
metal.00044.wav,"[-0.01752324 -0.01573375  0.00317811 ... -0.37580842 -0.3282194
 -0.16601485]",45600,metal
metal.00045.wav,"[ 0.03916341  0.05320974  0.04647375 ... -0.06189438 -0.05128722
 -0.02328773]",45600,metal
metal.00046.wav,"[-0.04336634 -0.0404079  -0.01099511 ...  0.46661732  0.35758767
  0.16721693]",45600,metal
metal.00047.wav,"[-0.00241896  0.03157011  0.08505673 ...  0.00170671  0.00642425
  0.0032726 ]",45600,metal
metal.00048.wav,"[-0.28254658 -0.4765861  -0.5828154  ... -0.4987765  -0.39087135
 -0.18418792]",45600,metal
metal.00049.wav,"[ 0.00489681 -0.00201332 -0.02973886 ... -0.26185316 -0.22313055
 -0.1105072 ]",45600,metal
metal.00050.wav,[0.21313557 0.31427568 0.3517583  ... 0.25187448 0.22894439 0.11861953],45600,metal
metal.00051.wav,"[ 0.33103794  0.46334153  0.42527866 ... -0.18734674 -0.16718563
 -0.08857217]",45600,metal
metal.00052.wav,[0.38533628 0.56880504 0.5689799  ... 0.07042779 0.04608183 0.01565317],45600,metal
metal.00053.wav,"[-0.47138798 -0.7178011  -0.7749097  ... -0.2566008  -0.20328215
 -0.0945141 ]",45600,metal
metal.00054.wav,"[-0.07913049 -0.0885459  -0.09358076 ...  0.1659148   0.15076071
  0.0774802 ]",45600,metal
metal.00055.wav,"[-0.10969504 -0.16081487 -0.15820429 ... -0.29898077 -0.17566063
 -0.06422213]",45600,metal
metal.00056.wav,"[ 0.05335379  0.1110065   0.15318593 ... -0.2626773  -0.20823418
 -0.10172823]",45600,metal
metal.00057.wav,"[ 0.04680344  0.08425597  0.11334072 ... -0.09404826 -0.07061782
 -0.0314104 ]",45600,metal
metal.00058.wav,[0.2189819  0.2928021  0.25557712 ... 0.37228236 0.27893174 0.1269024 ],45600,metal
metal.00059.wav,"[-0.02706428 -0.05458065 -0.07974485 ...  0.13367473  0.10692744
  0.05035826]",45600,metal
metal.00060.wav,"[-0.08308582 -0.11674696 -0.1089582  ... -0.01353665 -0.01166994
 -0.00550108]",45600,metal
metal.00061.wav,"[ 0.12873629  0.1941767   0.2082016  ... -0.0763779  -0.04423814
 -0.01777779]",45600,metal
metal.00062.wav,"[-0.03267009 -0.03890144 -0.02341435 ...  0.04325571  0.01815343
  0.00454505]",45600,metal
metal.00063.wav,"[ 0.02129189  0.02983038  0.02968673 ... -0.11729968 -0.11920358
 -0.06412312]",45600,metal
metal.00064.wav,"[-0.08392563 -0.14071079 -0.16573857 ...  0.17818944  0.15478776
  0.07807648]",45600,metal
metal.00065.wav,"[-0.01752324 -0.01573375  0.00317811 ... -0.37580842 -0.3282194
 -0.16601485]",45600,metal
metal.00066.wav,"[ 0.03916341  0.05320974  0.04647375 ... -0.06189438 -0.05128722
 -0.02328773]",45600,metal
metal.00067.wav,"[-0.12237272 -0.15775605 -0.14398919 ...  0.03056396  0.01488566
  0.        ]",45600,metal
metal.00068.wav,"[ 0.02828114  0.0390718   0.05338016 ... -0.01351239 -0.0111414
  0.        ]",45600,metal
metal.00069.wav,[0.18394122 0.22193685 0.17045158 ... 0.09569591 0.05476943 0.        ],45600,metal
metal.00070.wav,"[-0.007453   -0.01502739 -0.02315589 ...  0.00298013  0.00553539
  0.        ]",45600,metal
metal.00071.wav,[0.01414656 0.01547521 0.00717195 ... 0.00461802 0.00952671 0.        ],45600,metal
metal.00072.wav,"[-0.13295576 -0.13991985 -0.06272472 ...  0.1543038   0.07829558
  0.        ]",45600,metal
metal.00073.wav,[0.10281239 0.12682065 0.11867236 ... 0.18194523 0.10510403 0.        ],45600,metal
metal.00074.wav,"[-0.00685549 -0.00902788 -0.0070247  ... -0.0287432  -0.01448573
  0.        ]",45600,metal
metal.00075.wav,"[-0.03573927 -0.00476114  0.05059968 ...  0.05735631  0.03242617
  0.        ]",45600,metal
metal.00076.wav,"[-0.01974313 -0.02649184 -0.02757976 ...  0.04719391  0.0234086
  0.        ]",45600,metal
metal.00077.wav,[0.01047786 0.03557372 0.06370229 ... 0.0465873  0.0314562  0.        ],45600,metal
metal.00078.wav,"[-0.05027846 -0.09874965 -0.13970715 ...  0.02904747  0.05912982
  0.        ]",45600,metal
metal.00079.wav,"[-0.00921942 -0.03169397 -0.05365383 ... -0.22682531 -0.11497983
  0.        ]",45600,metal
metal.00080.wav,"[-0.22615564 -0.20534748 -0.05875453 ... -0.13854502 -0.0744326
  0.        ]",45600,metal
metal.00081.wav,"[ 0.04811994  0.05417061  0.03769202 ... -0.1496833  -0.10048582
  0.        ]",45600,metal
metal.00082.wav,"[ 0.03324819 -0.0021482  -0.06732243 ... -0.11502331 -0.07198445
  0.        ]",45600,metal
metal.00083.wav,"[-0.12443841 -0.10756891 -0.03607171 ... -0.3025266  -0.18305615
  0.        ]",45600,metal
metal.00084.wav,[0.1421445  0.17693518 0.17930117 ... 0.07885283 0.04746189 0.        ],45600,metal
metal.00085.wav,"[-0.280082   -0.3434351  -0.27615327 ... -0.14922771 -0.1054027
  0.        ]",45600,metal
metal.00086.wav,[0.0379375  0.05543361 0.05571957 ... 0.03498968 0.02757799 0.        ],45600,metal
metal.00087.wav,"[ 0.53820735  0.72918713  0.6642077  ... -0.29350412 -0.2559478
  0.        ]",45600,metal
metal.00088.wav,"[-0.02137198  0.00380165  0.05009206 ...  0.22444378  0.1400314
  0.        ]",45600,metal
metal.00089.wav,"[ 0.03091911  0.03874408  0.03847354 ... -0.38739705 -0.22909242
  0.        ]",45600,metal
metal.00090.wav,[0.02958567 0.0301399  0.01571016 ... 0.08923369 0.05403063 0.        ],45600,metal
metal.00091.wav,"[-0.08260676 -0.11434858 -0.12091415 ...  0.04271425  0.02537856
  0.        ]",45600,metal
metal.00092.wav,"[ 0.03564879  0.04611744  0.04642667 ... -0.08959258 -0.06716605
  0.        ]",45600,metal
metal.00093.wav,"[-0.10818791 -0.107457   -0.05305786 ... -0.01076632 -0.00307953
  0.        ]",45600,metal
metal.00094.wav,"[-0.01569568 -0.00624399  0.012968   ... -0.01194558 -0.00417695
  0.        ]",45600,metal
metal.00095.wav,"[-0.1193969  -0.18202467 -0.1995913  ... -0.00144978 -0.00434804
 -0.00305311]",45600,metal
metal.00096.wav,[0.10079064 0.15240215 0.15901017 ... 0.00315045 0.0028037  0.00189625],45600,metal
metal.00097.wav,"[ 0.04046906  0.06254999  0.06773293 ...  0.02235446 -0.02999025
 -0.02816361]",45600,metal
metal.00098.wav,"[-0.05960542 -0.08083059 -0.06619444 ...  0.20264226  0.1646868
  0.08000813]",45600,metal
metal.00099.wav,"[-0.21870011 -0.34185117 -0.3839009  ... -0.12169554 -0.08623354
 -0.03847051]",45600,metal
